Year,Region and country of birth,Total Permanent Residents,Percentage,State,Population Count
2014,Total,1016518,100.0,Kansas,4861
2014,"China, People's Republic",76089,7.49,Kansas,253
2014,Dominican Republic,44577,4.39,Kansas,7
2014,India,77908,7.66,Kansas,356
2014,Iran,11615,1.14,Kansas,35
2014,Mexico,134052,13.19,Kansas,1375
2014,Pakistan,18612,1.83,Kansas,74
2014,Philippines,49996,4.92,Kansas,179
2014,United Kingdom,12225,1.2,Kansas,49
2015,Total,1051031,100.0,Kansas,5419
2015,"China, People's Republic",74558,7.09,Kansas,259
2015,Dominican Republic,50610,4.82,Kansas,14
2015,India,64116,6.1,Kansas,330
2015,Iran,13114,1.25,Kansas,41
2015,Mexico,158619,15.09,Kansas,1523
2015,Pakistan,18057,1.72,Kansas,71
2015,Philippines,56478,5.37,Kansas,313
2015,United Kingdom,12592,1.2,Kansas,67
2016,Total,1183505,100.0,Kansas,5709
2016,"China, People's Republic",81772,6.91,Kansas,256
2016,Dominican Republic,61161,5.17,Kansas,24
2016,India,64687,5.47,Kansas,281
2016,Iran,13298,1.12,Kansas,50
2016,Mexico,174534,14.75,Kansas,1643
2016,Pakistan,19313,1.63,Kansas,66
2016,Philippines,53287,4.5,Kansas,212
2016,United Kingdom,12673,1.07,Kansas,47
2017,Total,1127167,100.0,Kansas,5703
2017,"China, People's Republic",71565,6.35,Kansas,190
2017,Dominican Republic,58520,5.19,Kansas,26
2017,India,60394,5.36,Kansas,275
2017,Iran,13791,1.22,Kansas,51
2017,Mexico,170581,15.13,Kansas,1634
2017,Pakistan,17408,1.54,Kansas,85
2017,Philippines,49147,4.36,Kansas,194
2017,United Kingdom,10948,0.97,Kansas,37
2018,Total,1096611,100.0,Kansas,5630
2018,"China, People's Republic",65214,5.95,Kansas,224
2018,Dominican Republic,57413,5.24,Kansas,30
2018,India,59821,5.46,Kansas,261
2018,Iran,10116,0.92,Kansas,38
2018,Mexico,161858,14.76,Kansas,1607
2018,Pakistan,15802,1.44,Kansas,47
2018,Philippines,47258,4.31,Kansas,217
2018,United Kingdom,9908,0.9,Kansas,60
2019,Total,1031765,100.0,Kansas,5139
2019,"China, People's Republic",62248,6.03,Kansas,168
2019,Dominican Republic,49911,4.84,Kansas,15
2019,India,54495,5.28,Kansas,189
2019,Iran,6640,0.64,Kansas,25
2019,Mexico,156052,15.12,Kansas,1511
2019,Pakistan,13921,1.35,Kansas,59
2019,Philippines,45920,4.45,Kansas,194
2019,United Kingdom,11337,1.1,Kansas,40
2020,Total,707362,100.0,Kansas,3943
2020,"China, People's Republic",41483,5.86,Kansas,120
2020,Dominican Republic,30005,4.24,Kansas,26
2020,India,46363,6.55,Kansas,222
2020,Iran,8805,1.24,Kansas,64
2020,Mexico,100325,14.18,Kansas,1044
2020,Pakistan,10474,1.48,Kansas,37
2020,Philippines,25491,3.6,Kansas,150
2020,United Kingdom,9655,1.36,Kansas,45
2021,Total,740002,100.0,Kansas,3399
2021,"China, People's Republic",49847,6.74,Kansas,124
2021,Dominican Republic,24553,3.32,Kansas,10
2021,India,93450,12.63,Kansas,456
2021,Iran,5734,0.77,Kansas,17
2021,Mexico,107230,14.49,Kansas,991
2021,Pakistan,9691,1.31,Kansas,28
2021,Philippines,27511,3.72,Kansas,107
2021,United Kingdom,9229,1.25,Kansas,39
2005,Total,1122373,100.0,Kentucky,5267
2005,"China, People's Republic",69967,6.23,Kentucky,393
2005,Dominican Republic,27504,2.45,Kentucky,12
2005,India,84681,7.54,Kentucky,511
2005,Iran,13887,1.24,Kentucky,62
2005,Mexico,161445,14.38,Kentucky,288
2005,Pakistan,14926,1.33,Kentucky,69
2005,Philippines,60748,5.41,Kentucky,228
2005,United Kingdom,19800,1.76,Kentucky,87
2006,Total,1266264,100.0,Kentucky,5506
2006,"China, People's Republic",87345,6.9,Kentucky,312
2006,Dominican Republic,38069,3.01,Kentucky,15
2006,India,61369,4.85,Kentucky,391
2006,Iran,13947,1.1,Kentucky,41
2006,Mexico,173753,13.72,Kentucky,361
2006,Pakistan,17418,1.38,Kentucky,45
2006,Philippines,74607,5.89,Kentucky,344
2006,United Kingdom,17207,1.36,Kentucky,95
2007,Total,1052415,100.0,Kentucky,4340
2007,"China, People's Republic",76655,7.28,Kentucky,314
2007,Dominican Republic,28024,2.66,Kentucky,9
2007,India,65353,6.21,Kentucky,280
2007,Iran,10460,0.99,Kentucky,40
2007,Mexico,148640,14.12,Kentucky,327
2007,Pakistan,13492,1.28,Kentucky,58
2007,Philippines,72596,6.9,Kentucky,332
2007,United Kingdom,14545,1.38,Kentucky,76
2008,Total,1107126,100.0,Kentucky,5315
2008,"China, People's Republic",80271,7.25,Kentucky,260
2008,Dominican Republic,31879,2.88,Kentucky,13
2008,India,63352,5.72,Kentucky,260
2008,Iran,13852,1.25,Kentucky,50
2008,Mexico,189989,17.16,Kentucky,395
2008,Pakistan,19719,1.78,Kentucky,66
2008,Philippines,54030,4.88,Kentucky,165
2008,United Kingdom,14348,1.3,Kentucky,92
2009,Total,1130818,100.0,Kentucky,5260
2009,"China, People's Republic",64238,5.68,Kentucky,245
2009,Dominican Republic,49414,4.37,Kentucky,24
2009,India,57304,5.07,Kentucky,270
2009,Iran,18553,1.64,Kentucky,51
2009,Mexico,164920,14.58,Kentucky,339
2009,Pakistan,21555,1.91,Kentucky,67
2009,Philippines,60029,5.31,Kentucky,185
2009,United Kingdom,15748,1.39,Kentucky,59
2010,Total,1042625,100.0,Kentucky,4930
2010,"China, People's Republic",70863,6.8,Kentucky,275
2010,Dominican Republic,53870,5.17,Kentucky,17
2010,India,69162,6.63,Kentucky,336
2010,Iran,14182,1.36,Kentucky,61
2010,Mexico,139120,13.34,Kentucky,343
2010,Pakistan,18258,1.75,Kentucky,58
2010,Philippines,58173,5.58,Kentucky,173
2010,United Kingdom,12792,1.23,Kentucky,85
2011,Total,1062040,100.0,Kentucky,5403
2011,"China, People's Republic",87016,8.19,Kentucky,302
2011,Dominican Republic,46109,4.34,Kentucky,18
2011,India,69013,6.5,Kentucky,269
2011,Iran,14822,1.4,Kentucky,57
2011,Mexico,143446,13.51,Kentucky,382
2011,Pakistan,15546,1.46,Kentucky,34
2011,Philippines,57011,5.37,Kentucky,148
2011,United Kingdom,11572,1.09,Kentucky,49
2012,Total,1031631,100.0,Kentucky,5243
2012,"China, People's Republic",81784,7.93,Kentucky,299
2012,Dominican Republic,41566,4.03,Kentucky,15
2012,India,66434,6.44,Kentucky,298
2012,Iran,12916,1.25,Kentucky,54
2012,Mexico,146406,14.19,Kentucky,324
2012,Pakistan,14740,1.43,Kentucky,42
2012,Philippines,57327,5.56,Kentucky,165
2012,United Kingdom,12014,1.16,Kentucky,51
2013,Total,990553,100.0,Kentucky,5159
2013,"China, People's Republic",71798,7.25,Kentucky,259
2013,Dominican Republic,41311,4.17,Kentucky,19
2013,India,68458,6.91,Kentucky,376
2013,Iran,12863,1.3,Kentucky,47
2013,Mexico,135028,13.63,Kentucky,377
2013,Pakistan,13251,1.34,Kentucky,61
2013,Philippines,54446,5.5,Kentucky,194
2013,United Kingdom,12984,1.31,Kentucky,65
2014,Total,1016518,100.0,Kentucky,5634
2014,"China, People's Republic",76089,7.49,Kentucky,222
2014,Dominican Republic,44577,4.39,Kentucky,17
2014,India,77908,7.66,Kentucky,327
2014,Iran,11615,1.14,Kentucky,60
2014,Mexico,134052,13.19,Kentucky,359
2014,Pakistan,18612,1.83,Kentucky,75
2014,Philippines,49996,4.92,Kentucky,156
2014,United Kingdom,12225,1.2,Kentucky,56
2015,Total,1051031,100.0,Kentucky,5647
2015,"China, People's Republic",74558,7.09,Kentucky,249
2015,Dominican Republic,50610,4.82,Kentucky,15
2015,India,64116,6.1,Kentucky,282
2015,Iran,13114,1.25,Kentucky,49
2015,Mexico,158619,15.09,Kentucky,448
2015,Pakistan,18057,1.72,Kentucky,72
2015,Philippines,56478,5.37,Kentucky,186
2015,United Kingdom,12592,1.2,Kentucky,60
2016,Total,1183505,100.0,Kentucky,7098
2016,"China, People's Republic",81772,6.91,Kentucky,256
2016,Dominican Republic,61161,5.17,Kentucky,43
2016,India,64687,5.47,Kentucky,327
2016,Iran,13298,1.12,Kentucky,53
2016,Mexico,174534,14.75,Kentucky,521
2016,Pakistan,19313,1.63,Kentucky,91
2016,Philippines,53287,4.5,Kentucky,222
2016,United Kingdom,12673,1.07,Kentucky,64
2017,Total,1127167,100.0,Kentucky,7537
2017,"China, People's Republic",71565,6.35,Kentucky,234
2017,Dominican Republic,58520,5.19,Kentucky,23
2017,India,60394,5.36,Kentucky,336
2017,Iran,13791,1.22,Kentucky,63
2017,Mexico,170581,15.13,Kentucky,505
2017,Pakistan,17408,1.54,Kentucky,41
2017,Philippines,49147,4.36,Kentucky,190
2017,United Kingdom,10948,0.97,Kentucky,68
2018,Total,1096611,100.0,Kentucky,8734
2018,"China, People's Republic",65214,5.95,Kentucky,197
2018,Dominican Republic,57413,5.24,Kentucky,29
2018,India,59821,5.46,Kentucky,313
2018,Iran,10116,0.92,Kentucky,40
2018,Mexico,161858,14.76,Kentucky,503
2018,Pakistan,15802,1.44,Kentucky,56
2018,Philippines,47258,4.31,Kentucky,241
2018,United Kingdom,9908,0.9,Kentucky,54
2019,Total,1031765,100.0,Kentucky,6006
2019,"China, People's Republic",62248,6.03,Kentucky,154
2019,Dominican Republic,49911,4.84,Kentucky,30
2019,India,54495,5.28,Kentucky,245
2019,Iran,6640,0.64,Kentucky,21
2019,Mexico,156052,15.12,Kentucky,454
2019,Pakistan,13921,1.35,Kentucky,59
2019,Philippines,45920,4.45,Kentucky,195
2019,United Kingdom,11337,1.1,Kentucky,58
2020,Total,707362,100.0,Kentucky,3932
2020,"China, People's Republic",41483,5.86,Kentucky,84
2020,Dominican Republic,30005,4.24,Kentucky,11
2020,India,46363,6.55,Kentucky,197
2020,Iran,8805,1.24,Kentucky,34
2020,Mexico,100325,14.18,Kentucky,281
2020,Pakistan,10474,1.48,Kentucky,19
2020,Philippines,25491,3.6,Kentucky,105
2020,United Kingdom,9655,1.36,Kentucky,34
2021,Total,740002,100.0,Kentucky,4401
2021,"China, People's Republic",49847,6.74,Kentucky,125
2021,Dominican Republic,24553,3.32,Kentucky,17
2021,India,93450,12.63,Kentucky,509
2021,Iran,5734,0.77,Kentucky,28
2021,Mexico,107230,14.49,Kentucky,396
2021,Pakistan,9691,1.31,Kentucky,32
2021,Philippines,27511,3.72,Kentucky,199
2021,United Kingdom,9229,1.25,Kentucky,58
2005,Total,1122373,100.0,Louisiana,3777
2005,"China, People's Republic",69967,6.23,Louisiana,285
2005,Dominican Republic,27504,2.45,Louisiana,41
2005,India,84681,7.54,Louisiana,318
2005,Iran,13887,1.24,Louisiana,52
2005,Mexico,161445,14.38,Louisiana,214
2005,Pakistan,14926,1.33,Louisiana,98
2005,Philippines,60748,5.41,Louisiana,147
2005,United Kingdom,19800,1.76,Louisiana,95
2006,Total,1266264,100.0,Louisiana,2693
2006,"China, People's Republic",87345,6.9,Louisiana,182
2006,Dominican Republic,38069,3.01,Louisiana,34
2006,India,61369,4.85,Louisiana,176
2006,Iran,13947,1.1,Louisiana,39
2006,Mexico,173753,13.72,Louisiana,188
2006,Pakistan,17418,1.38,Louisiana,69
2006,Philippines,74607,5.89,Louisiana,137
2006,United Kingdom,17207,1.36,Louisiana,63
2007,Total,1052415,100.0,Louisiana,3475
2007,"China, People's Republic",76655,7.28,Louisiana,248
2007,Dominican Republic,28024,2.66,Louisiana,35
2007,India,65353,6.21,Louisiana,194
2007,Iran,10460,0.99,Louisiana,39
2007,Mexico,148640,14.12,Louisiana,241
2007,Pakistan,13492,1.28,Louisiana,68
2007,Philippines,72596,6.9,Louisiana,211
2007,United Kingdom,14545,1.38,Louisiana,72
2008,Total,1107126,100.0,Louisiana,4011
2008,"China, People's Republic",80271,7.25,Louisiana,240
2008,Dominican Republic,31879,2.88,Louisiana,64
2008,India,63352,5.72,Louisiana,256
2008,Iran,13852,1.25,Louisiana,39
2008,Mexico,189989,17.16,Louisiana,396
2008,Pakistan,19719,1.78,Louisiana,127
2008,Philippines,54030,4.88,Louisiana,183
2008,United Kingdom,14348,1.3,Louisiana,81
2009,Total,1130818,100.0,Louisiana,4299
2009,"China, People's Republic",64238,5.68,Louisiana,228
2009,Dominican Republic,49414,4.37,Louisiana,92
2009,India,57304,5.07,Louisiana,242
2009,Iran,18553,1.64,Louisiana,38
2009,Mexico,164920,14.58,Louisiana,393
2009,Pakistan,21555,1.91,Louisiana,106
2009,Philippines,60029,5.31,Louisiana,210
2009,United Kingdom,15748,1.39,Louisiana,78
2010,Total,1042625,100.0,Louisiana,4397
2010,"China, People's Republic",70863,6.8,Louisiana,324
2010,Dominican Republic,53870,5.17,Louisiana,108
2010,India,69162,6.63,Louisiana,259
2010,Iran,14182,1.36,Louisiana,31
2010,Mexico,139120,13.34,Louisiana,401
2010,Pakistan,18258,1.75,Louisiana,83
2010,Philippines,58173,5.58,Louisiana,207
2010,United Kingdom,12792,1.23,Louisiana,67
2011,Total,1062040,100.0,Louisiana,4226
2011,"China, People's Republic",87016,8.19,Louisiana,337
2011,Dominican Republic,46109,4.34,Louisiana,121
2011,India,69013,6.5,Louisiana,221
2011,Iran,14822,1.4,Louisiana,27
2011,Mexico,143446,13.51,Louisiana,337
2011,Pakistan,15546,1.46,Louisiana,99
2011,Philippines,57011,5.37,Louisiana,232
2011,United Kingdom,11572,1.09,Louisiana,55
2012,Total,1031631,100.0,Louisiana,4454
2012,"China, People's Republic",81784,7.93,Louisiana,349
2012,Dominican Republic,41566,4.03,Louisiana,125
2012,India,66434,6.44,Louisiana,228
2012,Iran,12916,1.25,Louisiana,40
2012,Mexico,146406,14.19,Louisiana,473
2012,Pakistan,14740,1.43,Louisiana,100
2012,Philippines,57327,5.56,Louisiana,250
2012,United Kingdom,12014,1.16,Louisiana,54
2013,Total,990553,100.0,Louisiana,4355
2013,"China, People's Republic",71798,7.25,Louisiana,253
2013,Dominican Republic,41311,4.17,Louisiana,141
2013,India,68458,6.91,Louisiana,228
2013,Iran,12863,1.3,Louisiana,37
2013,Mexico,135028,13.63,Louisiana,415
2013,Pakistan,13251,1.34,Louisiana,104
2013,Philippines,54446,5.5,Louisiana,232
2013,United Kingdom,12984,1.31,Louisiana,55
2014,Total,1016518,100.0,Louisiana,4382
2014,"China, People's Republic",76089,7.49,Louisiana,267
2014,Dominican Republic,44577,4.39,Louisiana,120
2014,India,77908,7.66,Louisiana,219
2014,Iran,11615,1.14,Louisiana,39
2014,Mexico,134052,13.19,Louisiana,377
2014,Pakistan,18612,1.83,Louisiana,120
2014,Philippines,49996,4.92,Louisiana,244
2014,United Kingdom,12225,1.2,Louisiana,75
2015,Total,1051031,100.0,Louisiana,4696
2015,"China, People's Republic",74558,7.09,Louisiana,310
2015,Dominican Republic,50610,4.82,Louisiana,143
2015,India,64116,6.1,Louisiana,185
2015,Iran,13114,1.25,Louisiana,40
2015,Mexico,158619,15.09,Louisiana,468
2015,Pakistan,18057,1.72,Louisiana,91
2015,Philippines,56478,5.37,Louisiana,291
2015,United Kingdom,12592,1.2,Louisiana,72
2016,Total,1183505,100.0,Louisiana,5784
2016,"China, People's Republic",81772,6.91,Louisiana,265
2016,Dominican Republic,61161,5.17,Louisiana,269
2016,India,64687,5.47,Louisiana,221
2016,Iran,13298,1.12,Louisiana,59
2016,Mexico,174534,14.75,Louisiana,538
2016,Pakistan,19313,1.63,Louisiana,96
2016,Philippines,53287,4.5,Louisiana,414
2016,United Kingdom,12673,1.07,Louisiana,64
2017,Total,1127167,100.0,Louisiana,4688
2017,"China, People's Republic",71565,6.35,Louisiana,243
2017,Dominican Republic,58520,5.19,Louisiana,200
2017,India,60394,5.36,Louisiana,157
2017,Iran,13791,1.22,Louisiana,56
2017,Mexico,170581,15.13,Louisiana,467
2017,Pakistan,17408,1.54,Louisiana,109
2017,Philippines,49147,4.36,Louisiana,413
2017,United Kingdom,10948,0.97,Louisiana,30
2018,Total,1096611,100.0,Louisiana,4889
2018,"China, People's Republic",65214,5.95,Louisiana,203
2018,Dominican Republic,57413,5.24,Louisiana,286
2018,India,59821,5.46,Louisiana,156
2018,Iran,10116,0.92,Louisiana,25
2018,Mexico,161858,14.76,Louisiana,462
2018,Pakistan,15802,1.44,Louisiana,116
2018,Philippines,47258,4.31,Louisiana,265
2018,United Kingdom,9908,0.9,Louisiana,35
2019,Total,1031765,100.0,Louisiana,5116
2019,"China, People's Republic",62248,6.03,Louisiana,183
2019,Dominican Republic,49911,4.84,Louisiana,221
2019,India,54495,5.28,Louisiana,152
2019,Iran,6640,0.64,Louisiana,23
2019,Mexico,156052,15.12,Louisiana,522
2019,Pakistan,13921,1.35,Louisiana,65
2019,Philippines,45920,4.45,Louisiana,217
2019,United Kingdom,11337,1.1,Louisiana,68
2020,Total,707362,100.0,Louisiana,2584
2020,"China, People's Republic",41483,5.86,Louisiana,77
2020,Dominican Republic,30005,4.24,Louisiana,87
2020,India,46363,6.55,Louisiana,104
2020,Iran,8805,1.24,Louisiana,36
2020,Mexico,100325,14.18,Louisiana,269
2020,Pakistan,10474,1.48,Louisiana,23
2020,Philippines,25491,3.6,Louisiana,165
2020,United Kingdom,9655,1.36,Louisiana,32
2021,Total,740002,100.0,Louisiana,3137
2021,"China, People's Republic",49847,6.74,Louisiana,123
2021,Dominican Republic,24553,3.32,Louisiana,75
2021,India,93450,12.63,Louisiana,193
2021,Iran,5734,0.77,Louisiana,35
2021,Mexico,107230,14.49,Louisiana,303
2021,Pakistan,9691,1.31,Louisiana,38
2021,Philippines,27511,3.72,Louisiana,179
2021,United Kingdom,9229,1.25,Louisiana,30
2005,Total,1122373,100.0,Maine,1908
2005,"China, People's Republic",69967,6.23,Maine,124
2005,Dominican Republic,27504,2.45,Maine,4
2005,India,84681,7.54,Maine,108
2005,Iran,13887,1.24,Maine,41
2005,Mexico,161445,14.38,Maine,23
2005,Pakistan,14926,1.33,Maine,14
2005,Philippines,60748,5.41,Maine,107
2005,United Kingdom,19800,1.76,Maine,73
2006,Total,1266264,100.0,Maine,1719
2006,"China, People's Republic",87345,6.9,Maine,139
2006,Dominican Republic,38069,3.01,Maine,4
2006,India,61369,4.85,Maine,35
2006,Iran,13947,1.1,Maine,15
2006,Mexico,173753,13.72,Maine,15
2006,Pakistan,17418,1.38,Maine,7
2006,Philippines,74607,5.89,Maine,97
2006,United Kingdom,17207,1.36,Maine,73
2007,Total,1052415,100.0,Maine,1488
2007,"China, People's Republic",76655,7.28,Maine,104
2007,Dominican Republic,28024,2.66,Maine,10
2007,India,65353,6.21,Maine,46
2007,Iran,10460,0.99,Maine,13
2007,Mexico,148640,14.12,Maine,17
2007,Pakistan,13492,1.28,Maine,7
2007,Philippines,72596,6.9,Maine,89
2007,United Kingdom,14545,1.38,Maine,57
2008,Total,1107126,100.0,Maine,1617
2008,"China, People's Republic",80271,7.25,Maine,84
2008,Dominican Republic,31879,2.88,Maine,10
2008,India,63352,5.72,Maine,44
2008,Iran,13852,1.25,Maine,16
2008,Mexico,189989,17.16,Maine,21
2008,Pakistan,19719,1.78,Maine,9
2008,Philippines,54030,4.88,Maine,60
2008,United Kingdom,14348,1.3,Maine,50
2009,Total,1130818,100.0,Maine,1675
2009,"China, People's Republic",64238,5.68,Maine,71
2009,Dominican Republic,49414,4.37,Maine,18
2009,India,57304,5.07,Maine,30
2009,Iran,18553,1.64,Maine,10
2009,Mexico,164920,14.58,Maine,9
2009,Pakistan,21555,1.91,Maine,16
2009,Philippines,60029,5.31,Maine,53
2009,United Kingdom,15748,1.39,Maine,41
2010,Total,1042625,100.0,Maine,1349
2010,"China, People's Republic",70863,6.8,Maine,103
2010,Dominican Republic,53870,5.17,Maine,24
2010,India,69162,6.63,Maine,51
2010,Iran,14182,1.36,Maine,18
2010,Mexico,139120,13.34,Maine,30
2010,Pakistan,18258,1.75,Maine,7
2010,Philippines,58173,5.58,Maine,70
2010,United Kingdom,12792,1.23,Maine,43
2011,Total,1062040,100.0,Maine,1467
2011,"China, People's Republic",87016,8.19,Maine,124
2011,Dominican Republic,46109,4.34,Maine,10
2011,India,69013,6.5,Maine,54
2011,Iran,14822,1.4,Maine,19
2011,Mexico,143446,13.51,Maine,10
2011,Pakistan,15546,1.46,Maine,9
2011,Philippines,57011,5.37,Maine,72
2011,United Kingdom,11572,1.09,Maine,33
2012,Total,1031631,100.0,Maine,1497
2012,"China, People's Republic",81784,7.93,Maine,82
2012,Dominican Republic,41566,4.03,Maine,8
2012,India,66434,6.44,Maine,48
2012,Iran,12916,1.25,Maine,7
2012,Mexico,146406,14.19,Maine,16
2012,Pakistan,14740,1.43,Maine,4
2012,Philippines,57327,5.56,Maine,57
2012,United Kingdom,12014,1.16,Maine,34
2013,Total,990553,100.0,Maine,1208
2013,"China, People's Republic",71798,7.25,Maine,80
2013,Dominican Republic,41311,4.17,Maine,11
2013,India,68458,6.91,Maine,28
2013,Iran,12863,1.3,Maine,7
2013,Mexico,135028,13.63,Maine,16
2013,Pakistan,13251,1.34,Maine,5
2013,Philippines,54446,5.5,Maine,47
2013,United Kingdom,12984,1.31,Maine,42
2014,Total,1016518,100.0,Maine,1382
2014,"China, People's Republic",76089,7.49,Maine,73
2014,Dominican Republic,44577,4.39,Maine,8
2014,India,77908,7.66,Maine,80
2014,Iran,11615,1.14,Maine,6
2014,Mexico,134052,13.19,Maine,17
2014,Pakistan,18612,1.83,Maine,6
2014,Philippines,49996,4.92,Maine,38
2014,United Kingdom,12225,1.2,Maine,53
2015,Total,1051031,100.0,Maine,1464
2015,"China, People's Republic",74558,7.09,Maine,81
2015,Dominican Republic,50610,4.82,Maine,10
2015,India,64116,6.1,Maine,28
2015,Iran,13114,1.25,Maine,7
2015,Mexico,158619,15.09,Maine,27
2015,Pakistan,18057,1.72,Maine,10
2015,Philippines,56478,5.37,Maine,67
2015,United Kingdom,12592,1.2,Maine,49
2016,Total,1183505,100.0,Maine,1748
2016,"China, People's Republic",81772,6.91,Maine,77
2016,Dominican Republic,61161,5.17,Maine,13
2016,India,64687,5.47,Maine,42
2016,Iran,13298,1.12,Maine,10
2016,Mexico,174534,14.75,Maine,12
2016,Pakistan,19313,1.63,Maine,3
2016,Philippines,53287,4.5,Maine,66
2016,United Kingdom,12673,1.07,Maine,41
2017,Total,1127167,100.0,Maine,1594
2017,"China, People's Republic",71565,6.35,Maine,62
2017,Dominican Republic,58520,5.19,Maine,14
2017,India,60394,5.36,Maine,30
2017,Iran,13791,1.22,Maine,0
2017,Mexico,170581,15.13,Maine,15
2017,Pakistan,17408,1.54,Maine,8
2017,Philippines,49147,4.36,Maine,63
2017,United Kingdom,10948,0.97,Maine,46
2018,Total,1096611,100.0,Maine,1749
2018,"China, People's Republic",65214,5.95,Maine,58
2018,Dominican Republic,57413,5.24,Maine,16
2018,India,59821,5.46,Maine,41
2018,Iran,10116,0.92,Maine,12
2018,Mexico,161858,14.76,Maine,10
2018,Pakistan,15802,1.44,Maine,17
2018,Philippines,47258,4.31,Maine,82
2018,United Kingdom,9908,0.9,Maine,37
2019,Total,1031765,100.0,Maine,1361
2019,"China, People's Republic",62248,6.03,Maine,47
2019,Dominican Republic,49911,4.84,Maine,9
2019,India,54495,5.28,Maine,29
2019,Iran,6640,0.64,Maine,5
2019,Mexico,156052,15.12,Maine,10
2019,Pakistan,13921,1.35,Maine,17
2019,Philippines,45920,4.45,Maine,73
2019,United Kingdom,11337,1.1,Maine,20
2020,Total,707362,100.0,Maine,935
2020,"China, People's Republic",41483,5.86,Maine,30
2020,Dominican Republic,30005,4.24,Maine,4
2020,India,46363,6.55,Maine,36
2020,Iran,8805,1.24,Maine,9
2020,Mexico,100325,14.18,Maine,14
2020,Pakistan,10474,1.48,Maine,4
2020,Philippines,25491,3.6,Maine,58
2020,United Kingdom,9655,1.36,Maine,27
2021,Total,740002,100.0,Maine,899
2021,"China, People's Republic",49847,6.74,Maine,36
2021,Dominican Republic,24553,3.32,Maine,0
2021,India,93450,12.63,Maine,64
2021,Iran,5734,0.77,Maine,3
2021,Mexico,107230,14.49,Maine,19
2021,Pakistan,9691,1.31,Maine,5
2021,Philippines,27511,3.72,Maine,67
2021,United Kingdom,9229,1.25,Maine,24
2005,Total,1122373,100.0,Maryland,22870
2005,"China, People's Republic",69967,6.23,Maryland,1600
2005,Dominican Republic,27504,2.45,Maryland,159
2005,India,84681,7.54,Maryland,1785
2005,Iran,13887,1.24,Maryland,534
2005,Mexico,161445,14.38,Maryland,624
2005,Pakistan,14926,1.33,Maryland,455
2005,Philippines,60748,5.41,Maryland,1180
2005,United Kingdom,19800,1.76,Maryland,320
2006,Total,1266264,100.0,Maryland,30204
2006,"China, People's Republic",87345,6.9,Maryland,1605
2006,Dominican Republic,38069,3.01,Maryland,290
2006,India,61369,4.85,Maryland,1533
2006,Iran,13947,1.1,Maryland,485
2006,Mexico,173753,13.72,Maryland,539
2006,Pakistan,17418,1.38,Maryland,683
2006,Philippines,74607,5.89,Maryland,1576
2006,United Kingdom,17207,1.36,Maryland,387
2007,Total,1052415,100.0,Maryland,24255
2007,"China, People's Republic",76655,7.28,Maryland,1568
2007,Dominican Republic,28024,2.66,Maryland,231
2007,India,65353,6.21,Maryland,1617
2007,Iran,10460,0.99,Maryland,319
2007,Mexico,148640,14.12,Maryland,700
2007,Pakistan,13492,1.28,Maryland,517
2007,Philippines,72596,6.9,Maryland,1407
2007,United Kingdom,14545,1.38,Maryland,235
2008,Total,1107126,100.0,Maryland,27062
2008,"China, People's Republic",80271,7.25,Maryland,1626
2008,Dominican Republic,31879,2.88,Maryland,297
2008,India,63352,5.72,Maryland,1642
2008,Iran,13852,1.25,Maryland,493
2008,Mexico,189989,17.16,Maryland,573
2008,Pakistan,19719,1.78,Maryland,767
2008,Philippines,54030,4.88,Maryland,982
2008,United Kingdom,14348,1.3,Maryland,314
2009,Total,1130818,100.0,Maryland,26722
2009,"China, People's Republic",64238,5.68,Maryland,1195
2009,Dominican Republic,49414,4.37,Maryland,389
2009,India,57304,5.07,Maryland,1518
2009,Iran,18553,1.64,Maryland,531
2009,Mexico,164920,14.58,Maryland,604
2009,Pakistan,21555,1.91,Maryland,825
2009,Philippines,60029,5.31,Maryland,1157
2009,United Kingdom,15748,1.39,Maryland,293
2010,Total,1042625,100.0,Maryland,26450
2010,"China, People's Republic",70863,6.8,Maryland,1530
2010,Dominican Republic,53870,5.17,Maryland,498
2010,India,69162,6.63,Maryland,1750
2010,Iran,14182,1.36,Maryland,472
2010,Mexico,139120,13.34,Maryland,547
2010,Pakistan,18258,1.75,Maryland,773
2010,Philippines,58173,5.58,Maryland,1254
2010,United Kingdom,12792,1.23,Maryland,260
2011,Total,1062040,100.0,Maryland,25778
2011,"China, People's Republic",87016,8.19,Maryland,1494
2011,Dominican Republic,46109,4.34,Maryland,436
2011,India,69013,6.5,Maryland,1744
2011,Iran,14822,1.4,Maryland,496
2011,Mexico,143446,13.51,Maryland,450
2011,Pakistan,15546,1.46,Maryland,622
2011,Philippines,57011,5.37,Maryland,1372
2011,United Kingdom,11572,1.09,Maryland,210
2012,Total,1031631,100.0,Maryland,24971
2012,"China, People's Republic",81784,7.93,Maryland,1563
2012,Dominican Republic,41566,4.03,Maryland,329
2012,India,66434,6.44,Maryland,1611
2012,Iran,12916,1.25,Maryland,451
2012,Mexico,146406,14.19,Maryland,407
2012,Pakistan,14740,1.43,Maryland,630
2012,Philippines,57327,5.56,Maryland,1257
2012,United Kingdom,12014,1.16,Maryland,225
2013,Total,990553,100.0,Maryland,25361
2013,"China, People's Republic",71798,7.25,Maryland,1483
2013,Dominican Republic,41311,4.17,Maryland,342
2013,India,68458,6.91,Maryland,1587
2013,Iran,12863,1.3,Maryland,440
